An error occurred while accessing your Wordpress website. Please verify the domain name %s,Une erreur est survenue lors de l'accès à votre site Wordpress. Merci de vérifier le nom de domaine saisi %s
Categories successfully saved,Catégories sauvegardées avec succès
Click here to download our Wordpress plugin,Cliquez ici pour télécharger notre module Wordpress
Enter your Wordpress URL:,Saisissez l'url de votre blog Wordpress :
Loading categories,Chargement de vos catégories
We are sorry but no category has been detected on your Wordpress website.,Nous sommes désolés mais nous n'avons pas trouvé de catégorie dans votre site Wordpress.
We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.,Nous sommes désolés mais nous n'avons pas détecté notre module dans votre site Wordpress. Merci de vérifier qu'il soit correctement installé et activé.
Wordpress,Wordpress
